ID CNAE,CNAE,SETOR
a03213,Aqüicultura em água salgada,agropecuaria
a03221,Aqüicultura em água doce,agropecuaria
b05003,Extração de carvão mineral,industria
b06000,Extração de petróleo e gás natural,industria
b07103,Extração de minério de ferro,industria
b07219,Extração de minério de alumínio,industria
b07227,Extração de minério de estanho,industria
b07235,Extração de minério de manganês,industria
b07243,Extração de metais preciosos,industria
b07251,Extração de minerais radioativos,industria
b07294,Extração de outros minerais metálicos não-ferrosos,industria
b08100,"Extração de pedra, areia e argila",industria
b08916,Extração de minerais para fabricação de adubos e fertilizantes,industria
b08924,Extração e refino de sal marinho,industria
b08932,Extração de gemas,industria
b08991,Extração de outros minerais não-metálicos,industria
b09106,Atividades de apoio à extração de petróleo e gás natural,servicos
b09904,Atividades de apoio à extração de minerais,servicos
c10112,Abate de reses,industria
c10121,Abate de suínos e aves,industria
c10139,Fabricação de produtos de carne,industria
c10201,Fabricação de produtos do pescado,industria
c10317,Fabricação de conservas de frutas,industria
c10325,Fabricação de conservas de legumes e outros vegetais,industria
c10333,"Fabricação de sucos de frutas, hortaliças e legumes",industria
c10414,Fabricação de óleos vegetais em bruto,industria
c10422,Fabricação de óleos vegetais refinados,industria
c10431,Fabricação de margarina e outras gorduras vegetais,industria
c10511,Preparação do leite,industria
c10520,Fabricação de laticínios,industria
c10538,Fabricação de sorvetes,industria
c10619,Fabricação de produtos do arroz,industria
c10627,Moagem de trigo e fabricação de derivados,industria
c10635,Fabricação de farinha de mandioca,industria
c10643,Fabricação de farinha de milho e derivados,industria
c10651,Fabricação de amidos e óleos de milho,industria
c10660,Fabricação de alimentos para animais,industria
c10694,Moagem e fabricação de outros produtos de origem vegetal,industria
c10716,Fabricação de açúcar em bruto,industria
c10724,Fabricação de açúcar refinado,industria
c10813,Torrefação e moagem de café,industria
c10821,Fabricação de produtos à base de café,industria
c10911,Fabricação de produtos de panificação,industria
c10929,Fabricação de biscoitos e bolachas,industria
c10937,Fabricação de produtos derivados do cacau,industria
c10945,Fabricação de massas alimentícias,industria
c10953,Fabricação de especiarias e codimentos,industria
c10961,Fabricação de alimentos e pratos prontos,industria
c10996,Fabricação de outros produtos alimentícios,industria
c11119,Fabricação de bebidas destiladas,industria
c11127,Fabricação de vinho,industria
c11135,"Fabricação de malte, cervejas e chopes",industria
c11216,Fabricação de águas envasadas,industria
c11224,Fabricação de refrigerantes e de bebidas não-alcoólicas,industria
c12107,Processamento industrial do fumo,industria
c12204,Fabricação de produtos do fumo,industria
c13111,Preparação e fiação de fibras de algodão,industria
c13120,Preparação e fiação de fibras têxteis naturais,industria
c13138,Fiação de fibras artificiais e sintéticas,industria
c13146,Fabricação de linhas para costurar e bordar,industria
c13219,Tecelagem de fios de algodão,industria
c13227,Tecelagem de fios de fibras têxteis naturais,industria
c13235,Tecelagem de fios de fibras artificiais e sintéticas,industria
c13308,Fabricação de tecidos de malha,industria
c13405,"Acabamentos em fios, tecidos e artefatos têxteis",industria
c13511,Fabricação de artefatos têxteis para uso doméstico,industria
c13529,Fabricação de artefatos de tapeçaria,industria
c13537,Fabricação de artefatos de cordoaria,industria
c13545,Fabricação de tecidos especiais,industria
c13596,Fabricação de outros produtos têxteis,industria
c14118,Confecção de roupas íntimas,industria
c14126,Confecção de peças do vestuário,industria
c14134,Confecção de roupas profissionais,industria
